Reduction order,Eigenvalue reassignment,Error,Runtime
1.0,2.0,0.9999062479961615,0.1145474910736084
2.0,2.0,0.9997806333380616,0.11364626884460449
3.0,2.0,0.9996428487591654,0.11546921730041504
4.0,2.0,0.9991529797836591,0.11948847770690918
5.0,2.0,0.9908153509703286,0.11815237998962402
6.0,2.0,0.963985035447049,0.12290000915527344
7.0,2.0,0.9997150987787756,0.12813091278076172
8.0,2.0,0.9997614527160302,0.12908315658569336
9.0,0.0,0.9997498459571068,0.13032793998718262
10.0,2.0,0.9997367993727478,0.14671635627746582
11.0,2.0,0.9997196636015042,0.1360797882080078
12.0,0.0,0.9997222395958462,0.13864588737487793
13.0,2.0,0.9997223659756618,0.1400296688079834
14.0,0.0,0.9996962420628394,0.1470785140991211
15.0,2.0,0.9996477223948199,0.14795660972595215
16.0,0.0,0.999494205675041,0.18505430221557617
17.0,2.0,0.9992645515505852,0.18678021430969238
18.0,0.0,0.9981632146101512,0.18775558471679688
19.0,2.0,0.9955940839553569,0.1861400604248047
20.0,0.0,0.9895826342132011,0.19743108749389648
21.0,2.0,0.9744241973674207,0.20059514045715332
22.0,0.0,0.9324098410359202,0.20374631881713867
23.0,2.0,0.8855601720104467,0.20576786994934082
24.0,0.0,0.8491903957557011,0.24503350257873535
25.0,2.0,0.8373959485497521,0.269425630569458
26.0,0.0,0.8332116286260586,0.24583768844604492
27.0,2.0,0.830971318212337,0.23892879486083984
28.0,0.0,0.83050977887308,0.2489769458770752
29.0,2.0,0.8302878059797465,0.33257007598876953
30.0,0.0,0.8302138141162395,0.313946008682251
31.0,0.0,0.8302039768425105,0.27437543869018555
32.0,1.0,0.8302565938189502,0.29045772552490234
33.0,1.0,0.83027718088273,0.3013322353363037
34.0,1.0,0.8302777545188185,0.3176741600036621
35.0,0.0,0.8302810821676492,0.3165860176086426
36.0,1.0,0.830287517435224,0.3095247745513916
37.0,0.0,0.8302891664830828,0.3174560070037842
38.0,1.0,0.8302898684433263,0.34485387802124023
39.0,1.0,0.8302859946864195,0.30144309997558594
40.0,1.0,0.830300041784808,0.37578749656677246
41.0,1.0,0.8303407523205061,0.33773064613342285
42.0,1.0,0.8336651192756079,0.3308899402618408
43.0,1.0,0.8629122886577042,0.3345491886138916
44.0,0.0,0.25960906876053447,0.3534057140350342
45.0,0.0,0.27266191439939813,0.351778507232666
46.0,0.0,0.015655281132856916,0.35990095138549805
47.0,0.0,0.016936405786925023,0.3399813175201416
48.0,2.0,0.038839465218155476,0.35934948921203613
49.0,1.0,0.009357164529070025,0.36902379989624023
50.0,0.0,0.007285874804193804,0.3975996971130371
51.0,1.0,0.0007366599376637513,0.37871432304382324
52.0,0.0,0.0006378373562947757,0.3960142135620117
53.0,0.0,3.521989810666638e-05,0.4038238525390625
54.0,0.0,2.759679160540721e-05,0.4552021026611328
55.0,1.0,2.5642395622169844e-05,0.41821932792663574
56.0,0.0,2.675654327705717e-05,0.4317002296447754
57.0,0.0,3.01343169998693e-05,0.4581313133239746
58.0,1.0,2.938248933376361e-05,0.46617817878723145
59.0,0.0,2.920570832292126e-05,0.4460892677307129
60.0,1.0,2.7529852128013723e-05,0.47171902656555176
61.0,0.0,2.7579674184221255e-05,0.4810020923614502
62.0,0.0,2.923401225590532e-05,0.5075440406799316
63.0,1.0,2.920760267211198e-05,0.47173023223876953
64.0,0.0,2.9070723444467338e-05,0.5042421817779541
65.0,1.0,2.823710789006254e-05,0.49010205268859863
66.0,0.0,2.837669734411854e-05,0.5449647903442383
67.0,1.0,2.8145661676503345e-05,0.49483227729797363
68.0,1.0,2.927290781415351e-05,0.5532684326171875
69.0,0.0,3.059130631152398e-05,0.5363302230834961
70.0,0.0,3.0525552678466553e-05,0.5466146469116211
71.0,1.0,3.0202595406974656e-05,0.5547490119934082
72.0,0.0,3.236845177820926e-05,0.5599431991577148
73.0,1.0,3.0745142854018624e-05,0.5649216175079346
74.0,0.0,3.011699274085178e-05,0.5749931335449219
75.0,1.0,3.0067561761352244e-05,0.5630528926849365
76.0,0.0,3.0298603943799793e-05,0.593639612197876
77.0,1.0,3.0443852667933164e-05,0.6033921241760254
78.0,0.0,3.297708208035595e-05,0.6207044124603271
79.0,0.0,3.240826325895476e-05,0.8370602130889893
80.0,1.0,3.314969849905635e-05,0.7958011627197266
81.0,0.0,3.300977839551668e-05,0.7445106506347656
82.0,1.0,3.27340542460392e-05,0.7234752178192139
83.0,0.0,3.231871357795568e-05,0.6915850639343262
