Reduction order,Eigenvalue reassignment,Error,Runtime
1.0,2.0,1.0,0.09581971168518066
2.0,2.0,1.0,0.10620951652526855
3.0,2.0,1.0,0.10137534141540527
4.0,2.0,1.0,0.0977315902709961
5.0,2.0,1.0,0.09691524505615234
6.0,2.0,0.9998999354716241,0.09910035133361816
7.0,2.0,0.9998999354716214,0.11118292808532715
8.0,0.0,0.9998999354716395,0.11767697334289551
9.0,2.0,0.9998999354716209,0.11631512641906738
10.0,0.0,0.9998999354716266,0.1205604076385498
11.0,2.0,0.9998999354716206,0.1391763687133789
12.0,0.0,0.9998999354716328,0.12401103973388672
13.0,0.0,0.9998999354716254,0.12959051132202148
14.0,2.0,0.9998999354716264,0.12976670265197754
15.0,2.0,0.9998999354716199,0.12784743309020996
16.0,0.0,0.9998999354716865,0.16826105117797852
17.0,2.0,0.9998999354709402,0.17028403282165527
18.0,0.0,0.9998999354655218,0.18529367446899414
19.0,2.0,0.9998999354620578,0.1734330654144287
20.0,2.0,0.9998999354592587,0.1811842918395996
21.0,0.0,0.9998999354479653,0.1984415054321289
22.0,0.0,0.999899935445049,0.19301915168762207
23.0,2.0,0.9998999350505963,0.19428133964538574
24.0,0.0,0.9998999316630038,0.20804452896118164
25.0,1.0,0.9998999076672865,0.2127208709716797
26.0,1.0,0.9998999212753551,0.2177281379699707
27.0,1.0,0.9999581364643382,0.220412015914917
28.0,1.0,0.999981271720986,0.23525524139404297
29.0,0.0,0.9999924066998778,0.23397469520568848
30.0,0.0,0.9999961366207649,0.2550337314605713
31.0,1.0,1.0064326750119772,0.25078248977661133
32.0,0.0,0.9416388080770891,0.2950470447540283
33.0,2.0,0.9791502787438201,0.25541043281555176
34.0,2.0,1.2937100113263251,0.26677966117858887
35.0,2.0,1.6105211221851905,0.26791906356811523
36.0,2.0,1.281048557837893,0.27587127685546875
37.0,2.0,5.775755207154634,0.32636094093322754
38.0,2.0,3.3481117940054945,0.29055309295654297
39.0,2.0,0.031039736494988406,0.3038368225097656
40.0,2.0,0.13315715263723887,0.3166830539703369
41.0,2.0,0.0005873159623942474,0.3554508686065674
42.0,2.0,0.0005631518019853011,0.31915903091430664
43.0,2.0,0.0004253946888069235,0.32593345642089844
44.0,2.0,0.0018765434206249822,0.32488417625427246
45.0,2.0,0.0005800036953652965,0.3255457878112793
46.0,0.0,0.00018234277121021775,0.4410231113433838
47.0,2.0,0.0001783826942762227,0.3642158508300781
48.0,0.0,0.0002769388484998095,0.3470289707183838
49.0,0.0,0.0005636397272065567,0.3709394931793213
50.0,2.0,0.0002284720690793892,0.367889404296875
51.0,0.0,0.00016767216417906005,0.3797142505645752
52.0,0.0,0.00017624665847824488,0.4348611831665039
53.0,0.0,0.00017753799723907386,0.4527924060821533
54.0,0.0,0.00017444014761147485,0.4033927917480469
55.0,2.0,0.0001351576901435461,0.37905311584472656
56.0,0.0,0.00034370818385936737,0.40343141555786133
57.0,2.0,0.00021982225782942683,0.4179356098175049
58.0,1.0,0.00023349570883356692,0.4399847984313965
59.0,2.0,9.264651738328156e-05,0.47330451011657715
60.0,0.0,0.0006979741555325562,0.44138026237487793
61.0,0.0,0.0006234623099583773,0.4393465518951416
62.0,2.0,0.0006341303289458079,0.4693028926849365
63.0,2.0,0.0009501058574592384,0.4569072723388672
64.0,2.0,0.000503165429971788,0.47406435012817383
65.0,0.0,0.00073927966856024,0.47881627082824707
66.0,2.0,0.0008122289823624881,0.481870174407959
67.0,0.0,0.00029515428151397495,0.5015401840209961
68.0,0.0,0.0002542087315393768,0.5891287326812744
69.0,0.0,0.00022914600547675753,0.6490788459777832
70.0,0.0,0.00021934121226741462,0.5794970989227295
71.0,0.0,0.0002183220127345069,0.49038100242614746
72.0,0.0,0.00018425105683591157,0.5541262626647949
73.0,0.0,0.00018101563569315155,0.6448616981506348
74.0,0.0,0.0001439971305926788,0.7769660949707031
75.0,1.0,0.00013606640986041122,0.6595935821533203
76.0,2.0,0.0002976783163552267,0.6301946640014648
77.0,2.0,0.00020776951249682412,0.6299240589141846
78.0,2.0,0.00026980880732135806,0.7036285400390625
79.0,0.0,9.867813356008102e-05,0.6999728679656982
80.0,2.0,0.00011717678838573471,0.7156176567077637
81.0,2.0,7.556072186540655e-05,0.6896562576293945
82.0,0.0,0.00010328671016975474,0.6510882377624512
83.0,2.0,0.00042905755816851097,0.6207914352416992
84.0,2.0,0.00016057867903405333,0.6799724102020264
85.0,2.0,0.00016522104833762192,0.7101407051086426
86.0,2.0,0.0003129303819745388,0.8893535137176514
87.0,0.0,6.931174524517404e-05,0.733595609664917
88.0,1.0,6.948355854732779e-05,0.7454979419708252
89.0,0.0,5.8784804234133924e-05,0.8099730014801025
90.0,0.0,5.8980627880327925e-05,0.7489774227142334
91.0,0.0,4.8856040528345695e-05,0.7627878189086914
92.0,0.0,4.912656567791321e-05,0.7684829235076904
93.0,0.0,2.6373741756578038e-05,0.8126571178436279
94.0,1.0,2.625225271489901e-05,0.8178725242614746
95.0,2.0,3.6030914263607576e-05,0.83697509765625
96.0,0.0,1.762353511649936e-05,0.8202028274536133
