Reduction order,Eigenvalue reassignment,Error,Runtime
58.0,2.0,,0.46959400177001953
59.0,2.0,,0.44106221199035645
60.0,2.0,21.656213642086232,0.49158358573913574
61.0,2.0,,0.4985039234161377
62.0,2.0,12.883195638452428,0.5286462306976318
63.0,2.0,,0.5862374305725098
64.0,2.0,,0.622333288192749
65.0,2.0,,0.610206127166748
66.0,2.0,,0.6537775993347168
67.0,2.0,,0.5401766300201416
68.0,2.0,,0.589169979095459
69.0,2.0,,0.6289422512054443
70.0,2.0,1.0184840523240734e+25,0.5931618213653564
71.0,2.0,110.30360790244022,0.571850061416626
72.0,2.0,,0.6263184547424316
73.0,2.0,,0.6780803203582764
74.0,2.0,,0.7146368026733398
75.0,2.0,36.05442333707206,0.6173503398895264
76.0,2.0,,0.6814277172088623
77.0,2.0,,0.6683979034423828
78.0,2.0,inf,0.6898655891418457
79.0,2.0,,0.6142621040344238
80.0,2.0,,0.7138228416442871
81.0,2.0,,0.7210724353790283
82.0,2.0,,0.7771134376525879
83.0,2.0,6.459914978580828,0.7855069637298584
84.0,2.0,52.32524430377553,0.7869360446929932
85.0,2.0,,0.7780447006225586
86.0,2.0,1.11548242640174e+66,0.7592434883117676
87.0,2.0,,0.7821993827819824
88.0,2.0,7348669.466447069,0.8337123394012451
89.0,2.0,,0.80973219871521
90.0,2.0,37.815744878229914,0.9850940704345703
91.0,2.0,,0.8283860683441162
92.0,2.0,,0.845813512802124
93.0,2.0,,0.8511936664581299
94.0,2.0,,0.8370265960693359
95.0,2.0,9.261624457188102,0.8914358615875244
96.0,2.0,15.693445826836632,0.9310338497161865
97.0,2.0,24.956536259861956,0.8889443874359131
98.0,2.0,,0.9349021911621094
99.0,2.0,,0.9535098075866699
100.0,2.0,,0.9650955200195312
101.0,2.0,,1.0351760387420654
102.0,2.0,148430499.96257573,1.0786795616149902
103.0,2.0,,0.9382987022399902
104.0,2.0,,0.9875400066375732
105.0,2.0,58.37446464700545,1.0082781314849854
106.0,2.0,,1.0859723091125488
107.0,2.0,,0.9590954780578613
108.0,2.0,10.869257114227446,1.1027240753173828
109.0,2.0,,1.0790235996246338
110.0,2.0,6.207336530143915e+18,1.1783514022827148
111.0,2.0,,1.150177240371704
112.0,2.0,120.39031870033718,1.1498680114746094
113.0,2.0,42.734047387376656,1.243725299835205
114.0,2.0,inf,1.3069396018981934
115.0,2.0,,1.1668610572814941
116.0,2.0,,1.204024314880371
117.0,2.0,,1.2058429718017578
118.0,2.0,,1.2290472984313965
119.0,2.0,,1.2974519729614258
120.0,2.0,,1.2438294887542725
121.0,2.0,1.8501178418326039,1.3592503070831299
122.0,2.0,,1.3334662914276123
123.0,2.0,,1.3111236095428467
124.0,2.0,,1.4088923931121826
125.0,2.0,,1.4427361488342285
126.0,2.0,16.427166715221247,1.4293797016143799
127.0,2.0,,1.4590964317321777
128.0,2.0,23.727360090163998,3.6226248741149902
129.0,2.0,5.403643730744442,3.762981414794922
130.0,2.0,17.421543035485293,3.701597213745117
131.0,2.0,2.193377023289199,3.5227439403533936
132.0,2.0,17.835202955033655,3.6928811073303223
